Catchment Information,,,,Reservoir Catchment Descriptors ,,,,,,,Signatures,,,,
Sample,Gauge ID,BFI,Gauge Area,Total Reservoir Catchment Area ,Upstream Reservoir Count,Upstream Capacity (Ml),Contributing Area (%) ,Use,Minimum Distance to Reservoir (m),Normalised Upstream Capacity (mm),WB,SFDC,LFV,E,SWRR
Benchmark,71004,0.42,316.8,NA,NA,NA,NA,NA,NA,NA,0.095,0.212,0.697,1,0.596
Benchmark,72005,0.32,219.2,NA,NA,NA,NA,NA,NA,NA,0.131,0.132,0.718,1.385,0.632
Benchmark,72014,0.35,28.3,NA,NA,NA,NA,NA,NA,NA,-0.001,0.117,0.589,1.322,0.534
Benchmark,73005,0.42,212.2,NA,NA,NA,NA,NA,NA,NA,0.052,0.129,0.625,1.182,0.649
Benchmark,73011,0.38,65.4,NA,NA,NA,NA,NA,NA,NA,0.029,0.111,0.591,1.339,0.607
Benchmark,75017,0.5,103.3,NA,NA,NA,NA,NA,NA,NA,0.044,0.114,0.424,1.37,0.464
Benchmark,76014,0.26,66.7,NA,NA,NA,NA,NA,NA,NA,0.094,0.121,0.718,1.3,0.582
Benchmark,77004,0.3,69.9,NA,NA,NA,NA,NA,NA,NA,0.016,0.144,0.652,1.236,0.561
Benchmark,78004,0.27,73.5,NA,NA,NA,NA,NA,NA,NA,0.109,0.111,0.685,1.226,0.610
Benchmark,79004,0.31,142.6,NA,NA,NA,NA,NA,NA,NA,0.017,0.109,0.646,1.111,0.634
Benchmark,81002,0.28,385.5,NA,NA,NA,NA,NA,NA,NA,-0.084,0.109,0.658,1.182,0.700
Benchmark,81004,0.33,318.9,NA,NA,NA,NA,NA,NA,NA,0.018,0.116,0.497,1.409,0.553
Benchmark,83006,0.31,573,NA,NA,NA,NA,NA,NA,NA,0.008,0.164,0.655,1.226,0.547
Benchmark,83010,0.29,76.2,NA,NA,NA,NA,NA,NA,NA,-0.003,0.145,0.694,1.234,0.629
Benchmark,84022,0.43,111.6,NA,NA,NA,NA,NA,NA,NA,-0.02,0.108,0.537,0.884,0.581
Benchmark,85003,0.16,80.2,NA,NA,NA,NA,NA,NA,NA,-0.098,0.135,0.85,1.027,0.802
Benchmark,93001,0.26,139.4,NA,NA,NA,NA,NA,NA,NA,0.01,0.146,0.801,1.068,0.830
Benchmark,94001,0.64,436.6,NA,NA,NA,NA,NA,NA,NA,0.075,0.135,0.521,1.024,0.793
Benchmark,95001,0.65,138.5,NA,NA,NA,NA,NA,NA,NA,0.005,0.107,0.457,1.076,0.819
Benchmark,96002,0.43,474,NA,NA,NA,NA,NA,NA,NA,0.035,0.119,0.475,1.219,0.601
